Name                                                                Type        File
FRCoreOrganizationActivityFieldExtension                            Extension   extensions/FRCoreOrganizationActivityFieldExtension.fsh
FRCoreOrganizationActivityTypeExtension                             Extension   extensions/FRCoreOrganizationActivityTypeExtension.fsh
FRCoreOrganizationAnalysisSectionExtension                          Extension   extensions/FRCoreOrganizationAnalysisSectionExtension.fsh
FRCoreOrganizationApplicantActExtension                             Extension   extensions/FRCoreOrganizationApplicantActExtension.fsh
FRCoreOrganizationBudgetLetterExtension                             Extension   extensions/FRCoreOrganizationBudgetLetterExtension.fsh
FRCoreOrganizationDescriptionExtension                              Extension   extensions/FRCoreOrganizationDescriptionExtension.fsh
FRCoreOrganizationExecutantExtension                                Extension   extensions/FRCoreOrganizationExecutantExtension.fsh
FRCoreOrganizationExternalExtension                                 Extension   extensions/FRCoreOrganizationExternalExtension.fsh
FRCoreOrganizationFieldExtension                                    Extension   extensions/FRCoreOrganizationFieldExtension.fsh
FRCoreOrganizationPoleProfile                                       Profile     profiles/FRCoreOrganizationPoleProfile.fsh
FRCoreOrganizationPrestationDisciplineExtension                     Extension   extensions/FRCoreOrganizationPrestationDisciplineExtension.fsh
FRCoreOrganizationProfile                                           Profile     profiles/FRCoreOrganizationProfile.fsh
FRCoreOrganizationShortNameExtension                                Extension   extensions/FRCoreOrganizationShortNameExtension.fsh
FRCoreOrganizationTotalNumberOfTheoricalAccomodationSpaceExtension  Extension   extensions/FRCoreOrganizationTotalNumberOfTheoricalAccomodationSpaceExtension.fsh
FRCoreOrganizationUACProfile                                        Profile     profiles/FRCoreOrganizationUACProfile.fsh
FRCoreOrganizationUFProfile                                         Profile     profiles/FRCoreOrganizationUFProfile.fsh
FRCoreOservationRespRateProfile                                     Profile     profiles/FRCoreOservationRespRateProfile.fsh
FRCorePatientBirthPlaceExtension                                    Extension   extensions/FRCorePatientBirthPlaceExtension.fsh
FRCorePatientBirthdateUpdateIndicatorExtension                      Extension   extensions/FRCorePatientBirthdateUpdateIndicatorExtension.fsh
FRCorePatientContactIdentifierExtension                             Extension   extensions/FRCorePatientContactIdentifierExtension.fsh
FRCorePatientDeathPlaceExtension                                    Extension   extensions/FRCorePatientDeathPlaceExtension.fsh
FRCorePatientIdentReliabilityExtension                              Extension   extensions/FRCorePatientIdentReliabilityExtension.fsh
FRCorePatientIdentityMethodCollectionExtension                      Extension   extensions/FRCorePatientIdentityMethodCollectionExtension.fsh
FRCorePatientInsiBirthPlaceExtension                                Extension   extensions/FRCorePatientInsiBirthPlaceExtension.fsh
FRCorePatientInsiIdentityReliabilityExtension                       Extension   extensions/FRCorePatientInsiIdentityReliabilityExtension.fsh
FRCorePatientProfile                                                Profile     profiles/FRCorePatientProfile.fsh
FRCorePractitionerProfessionExtension                               Extension   extensions/FRCorePractitionerProfessionExtension.fsh
FRCorePractitionerProfile                                           Profile     profiles/FRCorePractitionerProfile.fsh
FRCorePractitionerSpecialtyExtension                                Extension   extensions/FRCorePractitionerSpecialtyExtension.fsh
FRCoreRelatedPersonProfile                                          Profile     profiles/FRCoreRelatedPersonProfile.fsh
FRCoreScheduleAvailabilityTimeExtension                             Extension   extensions/FRCoreScheduleAvailabilityTimeExtension.fsh
FRCoreScheduleProfile                                               Profile     profiles/FRCoreScheduleProfile.fsh
FRCoreServiceTypeDurationExtension                                  Extension   extensions/FRCoreServiceTypeDurationExtension.fsh
FRCoreSlotDateExtension                                             Extension   extensions/FRCoreSlotDateExtension.fsh
FRCoreSlotProfile                                                   Profile     profiles/FRCoreSlotProfile.fsh
FRCoreUsePeriodExtension                                            Extension   extensions/FRCoreUsePeriodExtension.fsh
FRCoreValueSetAvailabilityTimeDay                                   ValueSet    valuesets/FRCoreValueSetAvailabilityTimeDay.fsh
FRCoreValueSetAvailabilityTimeRule                                  ValueSet    valuesets/FRCoreValueSetAvailabilityTimeRule.fsh
FRCoreValueSetBPMeasurementMethod                                   ValueSet    valuesets/FRCoreValueSetBPMeasurementMethod.fsh
FRCoreValueSetCOGCommunePays                                        ValueSet    valuesets/FRCoreValueSetCOGCommunePays.fsh
FRCoreValueSetCivility                                              ValueSet    valuesets/FRCoreValueSetCivility.fsh
FRCoreValueSetCivilityExerciceRASS                                  ValueSet    valuesets/FRCoreValueSetCivilityExerciceRASS.fsh
FRCoreValueSetCivilityRASS                                          ValueSet    valuesets/FRCoreValueSetCivilityRASS.fsh
FRCoreValueSetContactRelationship                                   ValueSet    valuesets/FRCoreValueSetContactRelationship.fsh
FRCoreValueSetEmailType                                             ValueSet    valuesets/FRCoreValueSetEmailType.fsh
FRCoreValueSetEncounterDischargeDisposition                         ValueSet    valuesets/FRCoreValueSetEncounterDischargeDisposition.fsh
FRCoreValueSetEncounterIdentifierType                               ValueSet    valuesets/FRCoreValueSetEncounterIdentifierType.fsh
FRCoreValueSetEncounterType                                         ValueSet    valuesets/FRCoreValueSetEncounterType.fsh
FRCoreValueSetINSEECode                                             ValueSet    valuesets/FRCoreValueSetINSEECode.fsh
FRCoreValueSetIdentityMethodCollection                              ValueSet    valuesets/FRCoreValueSetIdentityMethodCollection.fsh
FRCoreValueSetIdentityReliability                                   ValueSet    valuesets/FRCoreValueSetIdentityReliability.fsh
FRCoreValueSetLocationIdentifierType                                ValueSet    valuesets/FRCoreValueSetLocationIdentifierType.fsh
FRCoreValueSetLocationPhysicalType                                  ValueSet    valuesets/FRCoreValueSetLocationPhysicalType.fsh
FRCoreValueSetLocationPositionRoom                                  ValueSet    valuesets/FRCoreValueSetLocationPositionRoom.fsh
FRCoreValueSetLocationType                                          ValueSet    valuesets/FRCoreValueSetLocationType.fsh
FRCoreValueSetModeValidationIdentity                                ValueSet    valuesets/FRCoreValueSetModeValidationIdentity.fsh
FRCoreValueSetOrganizationActivityField                             ValueSet    valuesets/FRCoreValueSetOrganizationActivityField.fsh
FRCoreValueSetOrganizationIdentifierType                            ValueSet    valuesets/FRCoreValueSetOrganizationIdentifierType.fsh
FRCoreValueSetOrganizationType                                      ValueSet    valuesets/FRCoreValueSetOrganizationType.fsh
FRCoreValueSetOrganizationUFActivityField                           ValueSet    valuesets/FRCoreValueSetOrganizationUFActivityField.fsh
FRCoreValueSetPractionerIdentifierType                              ValueSet    valuesets/FRCoreValueSetPractionerIdentifierType.fsh
FRCoreValueSetPractitionerQualification                             ValueSet    valuesets/FRCoreValueSetPractitionerQualification.fsh
FRCoreValueSetPractitionerSpecialty                                 ValueSet    valuesets/FRCoreValueSetPractitionerSpecialty.fsh
FRCoreValueSetRelatedPerson                                         ValueSet    valuesets/FRCoreValueSetRelatedPerson.fsh
FRCoreValueSetRelatedPersonRole                                     ValueSet    valuesets/FRCoreValueSetRelatedPersonRole.fsh
FRCoreValueSetScheduleType                                          ValueSet    valuesets/FRCoreValueSetScheduleType.fsh
FRCoreValueSetTitle                                                 ValueSet    valuesets/FRCoreValueSetTitle.fsh
FrCorePractionerRoleProfession                                      Profile     profiles/FrCorePractionerRoleProfession.fsh
FrCorePractitionerRoleCodeCategorieProfessionnelle                  Extension   extensions/FrCorePractitionerRoleCodeCategorieProfessionnelle.fsh
FrCorePractitionerRoleExercice                                      Profile     profiles/FrCorePractitionerRoleExercice.fsh
fr-core-encounter-class                                             Instance    instances/fr-core-encounter-class.fsh
fr-core-identifier-type-v1-0                                        Instance    instances/fr-core-identifier-type-v1-0.fsh
